AirportCode,DepartureAirportCode,ScheduledDepartureLocal,ScheduledDepartureUTC,ActualDepartureLocal,ActualDepartureUTC,DepartureTimeStatus,ArrivalAirportCode,ScheduledArrivalLocal,ScheduledArrivalUTC,ActualArrivalLocal,ActualArrivalUTC,ArrivalTimeStatus,MarketingAirlineID,MarketingFlightNumber,OperatingAirlineID,OperatingFlightNumber,AircraftCode,AircraftRegistration,FlightStatus,ServiceType
ALA,ALA,2024-06-17T03:50,2024-06-16T22:50Z,2024-06-17T03:54,2024-06-16T22:54Z,Flight On Time,FRA,2024-06-17T08:55,2024-06-17T06:55Z,2024-06-17T08:38,2024-06-17T06:38Z,Flight Early,LH,651,LH,651,333,DAIKI,Flight Landed,Passenger
ALG,ALG,2024-06-17T01:50,2024-06-17T00:50Z,2024-06-17T01:42,2024-06-17T00:42Z,Flight Early,FRA,2024-06-17T05:30,2024-06-17T03:30Z,2024-06-17T05:18,2024-06-17T03:18Z,Flight Early,LH,1319,LH,1319,321,DAISX,Flight Landed,Passenger
AMM,AMM,2024-06-17T03:45,2024-06-17T00:45Z,2024-06-17T04:53,2024-06-17T01:53Z,Flight Delayed,FRA,2024-06-17T07:30,2024-06-17T05:30Z,2024-06-17T08:27,2024-06-17T06:27Z,Flight Delayed,LH,693,LH,693,32A,DAIUO,Flight Landed,Passenger
ASR,ASR,2024-06-16T22:50,2024-06-16T19:50Z,2024-06-17T00:15,2024-06-16T21:15Z,Flight Delayed,ADB,2024-06-17T00:25,2024-06-16T21:25Z,2024-06-17T01:36,2024-06-16T22:36Z,Flight Delayed,XQ,9239,XQ,9239,73H,TCSOF,Flight Landed,Passenger
ASR,ASR,2024-06-17T03:25,2024-06-17T00:25Z,2024-06-17T03:40,2024-06-17T00:40Z,Flight On Time,DUS,2024-06-17T06:30,2024-06-17T04:30Z,2024-06-17T06:40,2024-06-17T04:40Z,Flight On Time,XQ,798,XQ,798,73H,TCSNU,Flight Landed,Passenger
ATH,ATH,2024-06-16T23:55,2024-06-16T20:55Z,2024-06-17T00:46,2024-06-16T21:46Z,Flight Delayed,CAI,2024-06-17T01:50,2024-06-16T22:50Z,2024-06-17T02:33,2024-06-16T23:33Z,Flight Delayed,A3,930,A3,930,320,SXDNG,Flight Landed,Passenger
AUH,AUH,2024-06-17T02:10,2024-06-16T22:10Z,,,Flight On Time,FRA,2024-06-17T06:55,2024-06-17T04:55Z,2024-06-17T06:45,2024-06-17T04:45Z,Flight Early,EY,121,EY,121,789,A6BLK,Flight Landed,Passenger
AUH,AUH,2024-06-17T02:30,2024-06-16T22:30Z,,,Flight On Time,MUC,2024-06-17T07:00,2024-06-17T05:00Z,2024-06-17T06:42,2024-06-17T04:42Z,Flight Early,EY,125,EY,125,789,A6BNB,Flight Landed,Passenger
AUH,AUH,2024-06-17T03:05,2024-06-16T23:05Z,,,Flight On Time,ORD,2024-06-17T08:50,2024-06-17T13:50Z,,,Flight On Time,EY,151,EY,151,351,,No status,Passenger
AUH,AUH,2024-06-17T03:15,2024-06-16T23:15Z,,,Flight On Time,CAI,2024-06-17T06:10,2024-06-17T03:10Z,,,Flight On Time,EY,657,EY,657,32Q,,No status,Passenger
AYT,AYT,2024-06-16T23:45,2024-06-16T20:45Z,2024-06-17T00:25,2024-06-16T21:25Z,Flight Delayed,NUE,2024-06-17T02:10,2024-06-17T00:10Z,,,Flight Delayed,XQ,164,XQ,164,73H,TCSOO,Flight Departed,Passenger
AYT,AYT,2024-06-16T23:45,2024-06-16T20:45Z,2024-06-17T00:03,2024-06-16T21:03Z,Flight Delayed,FMO,2024-06-17T02:45,2024-06-17T00:45Z,2024-06-17T03:15,2024-06-17T01:15Z,Flight Delayed,XQ,256,XQ,256,73H,TCSPS,Flight Landed,Passenger
AYT,AYT,2024-06-16T23:50,2024-06-16T20:50Z,2024-06-17T00:15,2024-06-16T21:15Z,Flight Delayed,HAJ,2024-06-17T02:45,2024-06-17T00:45Z,2024-06-17T03:25,2024-06-17T01:25Z,Flight Delayed,XQ,230,XQ,230,73H,TCSNV,Flight Landed,Passenger
AYT,AYT,2024-06-16T23:55,2024-06-16T20:55Z,2024-06-17T00:16,2024-06-16T21:16Z,Flight Delayed,CGN,2024-06-17T02:55,2024-06-17T00:55Z,2024-06-17T03:30,2024-06-17T01:30Z,Flight Delayed,XQ,112,XQ,112,7M8,TCSMN,Flight Landed,Passenger
AYT,AYT,2024-06-16T23:55,2024-06-16T20:55Z,2024-06-17T00:03,2024-06-16T21:03Z,Flight On Time,HAJ,2024-06-17T02:50,2024-06-17T00:50Z,2024-06-17T03:10,2024-06-17T01:10Z,Flight Delayed,XQ,232,XQ,232,73H,TCSNT,Flight Landed,Passenger
AYT,AYT,2024-06-17T04:00,2024-06-17T01:00Z,2024-06-17T03:53,2024-06-17T00:53Z,Flight Early,PRN,2024-06-17T05:05,2024-06-17T03:05Z,2024-06-17T05:01,2024-06-17T03:01Z,Flight Early,XQ,654,XQ,654,73H,TCSOH,Flight Landed,Passenger
